Name                                                                                                                       Coverage           
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Components/UserCard.swift            100.00% (78/78)    
        UserCard.body.getter                                                                                               100.00% (34/34)    
        closure #1 in UserCard.body.getter                                                                                 100.00% (26/26)    
        closure #1 in closure #1 in UserCard.body.getter                                                                   100.00% (13/13)    
        UserCard.formatDate(_:)                                                                                            100.00% (5/5)      
    /Users/jrjohn/Documents/projects/arcana-ios/arcana-ios/Sources/ArcanaPresentation/Screens/User/UserListView.swift      81.69% (705/863)   
        variable initialization expression of UserListView._showingAddUser                                                 100.00% (1/1)      
        variable initialization expression of UserListView._showingDeleteAlert                                             100.00% (1/1)      
        variable initialization expression of UserListView._showingError                                                   100.00% (1/1)      
        variable initialization expression of UserListView._networkMonitor                                                 100.00% (1/1)      
        UserListView.init(viewModel:)                                                                                      100.00% (3/3)      
        UserListView.body.getter                                                                                           100.00% (108/108)  
        closure #1 in UserListView.body.getter                                                                             100.00% (44/44)    
        closure #1 in closure #1 in UserListView.body.getter                                                               100.00% (38/38)    
        closure #1 in closure #1 in closure #1 in UserListView.body.getter                                                 0.00% (0/3)        
        implicit closure #1 in closure #1 in closure #1 in UserListView.body.getter                                        100.00% (1/1)      
        implicit closure #2 in closure #1 in closure #1 in UserListView.body.getter                                        100.00% (1/1)      
        closure #2 in UserListView.body.getter                                                                             100.00% (18/18)    
        closure #1 in closure #2 in UserListView.body.getter                                                               100.00% (6/6)      
        closure #1 in closure #1 in closure #2 in UserListView.body.getter                                                 0.00% (0/1)        
        closure #2 in closure #1 in closure #2 in UserListView.body.getter                                                 100.00% (4/4)      
        closure #2 in closure #2 in UserListView.body.getter                                                               100.00% (9/9)      
        closure #1 in closure #2 in closure #2 in UserListView.body.getter                                                 0.00% (0/3)        
        closure #2 in closure #2 in closure #2 in UserListView.body.getter                                                 100.00% (4/4)      
        closure #3 in UserListView.body.getter                                                                             0.00% (0/10)       
        closure #1 in closure #3 in UserListView.body.getter                                                               0.00% (0/8)        
        closure #1 in closure #1 in closure #3 in UserListView.body.getter                                                 0.00% (0/4)        
        closure #4 in UserListView.body.getter                                                                             0.00% (0/6)        
        closure #1 in closure #4 in UserListView.body.getter                                                               0.00% (0/1)        
        closure #2 in closure #4 in UserListView.body.getter                                                               0.00% (0/3)        
        closure #5 in UserListView.body.getter                                                                             0.00% (0/3)        
        closure #6 in UserListView.body.getter                                                                             0.00% (0/8)        
        closure #1 in closure #6 in UserListView.body.getter                                                               0.00% (0/1)        
        closure #2 in closure #6 in UserListView.body.getter                                                               0.00% (0/3)        
        closure #7 in UserListView.body.getter                                                                             0.00% (0/3)        
        closure #8 in UserListView.body.getter                                                                             100.00% (15/15)    
        closure #1 in closure #8 in UserListView.body.getter                                                               0.00% (0/3)        
        closure #2 in closure #8 in UserListView.body.getter                                                               100.00% (6/6)      
        UserListView.loadingView.getter                                                                                    100.00% (10/10)    
        closure #1 in UserListView.loadingView.getter                                                                      100.00% (7/7)      
        UserListView.emptyStateView.getter                                                                                 100.00% (26/26)    
